user_id,sex,age,age_category,dependents_c,dependents_category,last_month_salary_cleaned,default_flag,qty_loans_rs,qty_loans_ot,total_loans,with_bank_credit,using_lines_not_secured_personal_assets_cleaned,debt_ratio_cleaned,total_delayed_payments
32977,M,30,30-39,0,0,13258,0,2,6,8,1,0.474460462,0.294083676,0
11130,F,51,50-59,0,0,13258,0,3,9,12,1,0.0,0.29361138,0
23373,F,51,50-59,0,0,13258,0,4,11,15,1,0.008193443,0.381359025,1
1997,M,53,50-59,0,0,13258,0,2,2,4,1,0.038100403,0.217172036,0
23379,F,54,50-59,0,0,13258,0,2,5,7,1,0.102286041,0.120155194,0
35718,F,58,50-59,0,0,13258,0,1,2,3,1,0.018499538,0.074561404,0
10074,M,61,60-69,0,0,13258,0,1,12,13,1,0.284828428,0.275016665,0
21876,F,64,60-69,0,0,13258,0,1,16,17,1,0.002205726,0.160641711,0
26009,M,64,60-69,0,0,13258,0,0,3,3,1,0.997200373,0.039922657,0
15562,M,66,60-69,0,0,13258,0,2,17,19,1,0.040860915,0.157758397,0
22391,M,67,60-69,0,0,13258,0,1,3,4,1,0.029580868,0.282114907,1
24715,M,67,60-69,0,0,13258,0,0,10,10,1,0.283346507,0.085856148,1
20305,M,68,60-69,0,0,13258,0,1,7,8,1,0.852464595,0.137182385,0
12826,F,70,70-79,0,0,13258,0,8,6,14,1,0.007436228,0.693359861,0
2089,M,71,70-79,0,0,13258,0,0,6,6,1,1.009724757,0.184387707,2
32372,M,89,80-89,0,0,13258,0,2,12,14,1,0.379845105,0.527493981,0
992,M,38,30-39,1,1,13258,0,2,12,14,1,0.076621997,0.089412941,0
15692,M,57,50-59,1,1,13258,0,1,14,15,1,0.790987006,0.39590694,3
8419,F,59,50-59,1,1,13258,0,2,23,25,1,0.263288348,0.292865126,0
15304,F,61,60-69,1,1,13258,0,4,5,9,1,0.343991198,0.490409408,0
23793,F,61,60-69,1,1,13258,0,1,4,5,1,0.167395815,0.254524719,0
29570,F,61,60-69,1,1,13258,0,2,11,13,1,0.433856649,0.289193629,1
34711,M,64,60-69,1,1,13258,0,4,23,27,1,0.181671843,0.491028571,0
15792,M,65,60-69,1,1,13258,0,2,2,4,1,0.016452209,0.228290531,0
25688,M,67,60-69,1,1,13258,0,0,3,3,1,0.292189165,0.004076766,0
648,M,42,40-49,2,2,13258,0,1,7,8,1,0.14371018,0.201389376,0
2091,M,44,40-49,2,2,13258,0,0,16,16,1,0.038169103,0.060704454,0
25529,M,44,40-49,2,2,13258,0,0,5,5,1,0.742730291,0.081468915,0
21302,M,47,40-49,2,2,13258,0,3,10,13,1,0.419105393,0.398211118,0
12120,M,48,40-49,2,2,13258,0,3,13,16,1,0.66832302,0.673579735,0
12464,F,48,40-49,2,2,13258,0,2,8,10,1,0.775814487,0.417757417,1
6922,M,49,40-49,2,2,13258,0,2,5,7,1,0.025646053,0.122943163,0
20852,M,49,40-49,2,2,13258,0,2,2,4,1,0.118990084,0.137961565,0
27053,F,50,50-59,2,2,13258,0,0,23,23,1,0.012989106,0.000538092,1
34812,M,55,50-59,2,2,13258,0,1,7,8,1,0.060659815,0.214983498,1
13007,M,57,50-59,2,2,13258,0,2,10,12,1,0.79480602,0.329924967,1
17062,M,60,60-69,2,2,13258,0,2,12,14,1,0.101286126,0.155093639,0
18400,M,60,60-69,2,2,13258,0,0,9,9,1,0.008226557,0.000629987,0
7893,F,63,60-69,2,2,13258,0,2,10,12,1,0.290551209,0.231137898,1
35704,F,73,70-79,2,2,13258,0,1,3,4,1,0.9999999,0.202593782,0
6796,F,45,40-49,3,3+,13258,0,0,1,1,1,0.9999999,0.006027273,1
8758,F,49,40-49,3,3+,13258,0,1,4,5,1,0.0,0.037932317,0
8999,F,55,50-59,3,3+,13258,0,0,14,14,1,0.009202383,0.004619908,0
14475,M,57,50-59,3,3+,13258,0,2,14,16,1,0.002077313,0.309446037,0
7903,M,43,40-49,4,3+,13258,0,1,7,8,1,0.9999999,0.324417224,2
34652,M,47,40-49,4,3+,13258,0,0,4,4,1,0.813319619,0.065331928,0
12487,M,50,50-59,4,3+,13258,0,3,5,8,1,0.393661623,0.226617913,0
15163,M,49,40-49,5,3+,13258,0,3,6,9,1,0.359400634,0.33931862,0
10925,M,56,50-59,5,3+,13258,0,1,15,16,1,0.0,0.159642018,0
22534,M,29,20-29,0,0,13258,0,0,5,5,1,0.72869415,0.025071555,0
